手機型號,空機價格,二手價格,上市日期,經過的月份數,處理器型號,分數,RAM記憶體,ROM儲存空間,記憶卡,最大擴充儲存空間,電池容量,主螢幕尺寸,主螢幕解析度,主螢幕像素密度,主螢幕材質,主相機畫素,主相機光圈F,機身重量,防水防塵等級,3.5mm耳機孔,鏈結
HTC Desire 20 pro,8000,,2020/06,0.0,Snapdragon 665,27.6,6 GB,128 GB,microSD,2 TB,5000 mAh,6.5 inch,2160x1080 pixels,372 ppi,,4800 萬畫素,1.8,201 g,,Yes,https://www.sogi.com.tw/products/htc_desire_20_pro/15426
Sony Xperia 10 II,9700,9200.0,2020/05,1.0,Snapdragon 665,27.6,4 GB,128 GB,microSD,1 TB,3600 mAh,6 inch,2520x1080 pixels,457 ppi,OLED,1200 萬畫素,2.0,151 g,IP68,Yes,https://www.sogi.com.tw/products/sony_xperia_10_mark_two/15311
Apple iPhone SE (2020) 64GB,12900,11998.0,2020/04,2.0,A13 Bionic,124.1,,64 GB,,,,4.7 inch,1334x750 pixels,326 ppi,IPS,1200 萬畫素,1.8,148 g,IP67,,https://www.sogi.com.tw/products/apple_iphone_se_2020/15376
Apple iPhone SE (2020) 128GB,14600,13833.0,2020/04,2.0,A13 Bionic,124.1,,128 GB,,,,4.7 inch,1334x750 pixels,326 ppi,IPS,1200 萬畫素,1.8,148 g,IP67,,https://www.sogi.com.tw/products/apple_iphone_se_2020/15377
Apple iPhone SE (2020) 256GB,18100,,2020/04,2.0,A13 Bionic,124.1,,256 GB,,,,4.7 inch,1334x750 pixels,326 ppi,IPS,1200 萬畫素,1.8,148 g,IP67,,https://www.sogi.com.tw/products/apple_iphone_se_2020/15378
SAMSUNG Galaxy Note 10 Lite,14800,,2020/02,4.0,Exynos 9810,59.8,8 GB,128 GB,microSD,1 TB,4500 mAh,6.7 inch,2400x1080 pixels,393 ppi,Super AMOLED,1200 萬畫素,1.7,199 g,,Yes,https://www.sogi.com.tw/products/samsung_galaxy_note10_lite/15272
SAMSUNG Galaxy A71,11000,10500.0,2020/02,4.0,Snapdragon 730,43.0,8 GB,128 GB,microSD,512 GB,4500 mAh,6.7 inch,2400x1080 pixels,393 ppi,Super AMOLED Plus,6400 萬畫素,1.8,179 g,,Yes,https://www.sogi.com.tw/products/samsung_galaxy_a71/15259
ASUS ZenFone 6 ZS630KL 512GB,17000,,2020/01,5.0,Snapdragon 855,80.4,8 GB,512 GB,microSD,2 TB,5000 mAh,6.4 inch,2340x1080 pixels,403 ppi,IPS,4800 萬畫素,1.79,190 g,,Yes,https://www.sogi.com.tw/products/asus_zenfone_6_zs630kl/15324
LG G8X ThinQ,18500,,2019/12,6.0,Snapdragon 855,80.4,6 GB,128 GB,microSD,2 TB,4000 mAh,6.4 inch,2340x1080 pixels,403 ppi,OLED,1200 萬畫素,1.8,192 g,IP68,Yes,https://www.sogi.com.tw/products/lg_g8x_thinq/15138
vivo V17 Pro,8800,7500.0,2019/11,7.0,Snapdragon 675,34.5,8 GB,128 GB,,,4100 mAh,6.44 inch,2400x1080 pixels,409 ppi,Super AMOLED,4800 萬畫素,1.8,201.8 g,,Yes,https://www.sogi.com.tw/products/vivo_v17_pro/15187
